,node,embedding
37,1308,"[35.40559557 21.17226169  3.27751972  9.92448945 -0.11830826  7.93420389
  4.03727298  0.4338898   3.14742052 -0.38489489 12.58756799 -0.62478822
  0.36079359 -0.16150952 -2.25411546  4.29796352  1.3456059  -4.25822738
 -0.2195263   2.16239293  4.19723534  1.24980547  3.89550078  1.3450393
 -4.16234372  9.66375853 -3.62929558 -4.00557876 -1.07324036 -3.79821574
 -3.36703339  0.37563321]"
38,1920,"[16.24234873  0.43894848  9.84320631 -2.08455427 -3.26002331  1.95499259
 -2.326217   -0.90221409 -2.87164751 -0.84746102  2.50262353  1.19433359
 -0.47049575 -1.42563667 -0.48817435  0.63016544  0.21969197  1.68546828
 -2.01178346  1.40344743 -0.57235098 -1.65113575 -0.16552014 -1.03884749
 -1.29957695 -0.10311573  0.07338398  0.39602544  0.31532246  0.51991746
  0.90971056  1.1910327 ]"
39,3483,"[13.17354693 -0.77256638  8.41071506 -0.82712357 -2.86888743  2.42816663
 -1.61936975 -2.16401617 -1.22640196  0.12344728  1.47016053 -0.710594
 -0.91175125 -0.99994958 -0.02222013 -0.14929085  0.11507434 -0.76981996
 -1.23143051  0.34056695 -0.09979821 -2.70008733 -1.15050851 -2.15748411
  1.24916928  0.4315554   0.49645531  0.11643968  0.83026603 -1.26675928
  0.17013946  0.61320164]"
40,4060,"[ 1.43489744e+01 -4.29925094e-01  8.13898786e+00 -1.19815243e+00
 -4.08775607e+00  2.50643529e+00 -2.06678782e+00 -2.22377697e+00
 -2.39480160e+00 -1.75086707e-01  2.23369805e+00 -6.58177564e-02
 -9.25894791e-01 -6.34689635e-01 -3.94352484e-01  3.78218685e-01
  3.96224245e-01 -5.70041015e-01 -1.54841368e+00  1.12023353e+00
 -3.68074945e-01 -3.37915896e+00 -9.66182367e-01 -2.38298205e+00
  2.77632129e-01  5.14447229e-02  5.40565739e-02  1.00780320e-02
  1.56229303e+00 -1.35287342e+00  1.31745216e+00 -1.51446519e-01]"
41,4506,"[18.73198848  0.71802964  3.96887062 -3.07561636 -0.06813319 -0.09733698
 -1.63269112 -2.60601128 -0.81602843  2.23598294  0.51467552 -0.41334675
 -0.13494701 -0.2937815   0.12004482 -0.72093855  0.91699105 -1.38069774
 -1.3552547  -0.9730309  -1.24725424  0.10645935  0.11067562  0.33652173
 -1.67973067 -0.46819106 -0.97963785  1.90790976 -1.25019084  0.30083887
  1.71717124 -0.18148475]"
42,4672,"[ 2.30598758e+01  6.61131907e+00  1.13067283e+01 -1.10927971e+00
 -4.50997636e+00  4.85528097e+00 -1.72313953e+00 -1.54156526e+00
 -7.79477760e+00  2.14635480e-01  6.99868936e+00 -9.36623536e-01
  1.54693181e+00 -4.70998170e+00 -2.84900683e+00 -1.44018998e+00
  1.64724241e+00 -1.49397752e+00  1.07223918e+00  3.99846408e-01
  1.93141489e+00 -3.71885780e+00  8.83534198e-01  6.61393272e-01
  5.31427392e-01  8.05554253e-01  1.98348563e+00 -9.60289787e-01
  6.59346388e-01 -8.96136678e-01  9.14718241e-03 -1.02698749e+00]"
43,5816,"[ 1.40380062e+01 -1.93591216e+00 -7.02318488e-03 -8.22365410e-01
 -2.50798518e+00  7.79667935e-01 -1.71465828e+00 -1.72179068e+00
  3.22977899e-01  3.79556842e-01 -3.34191919e-01 -1.90319761e+00
  1.35443964e+00 -1.06574148e-01  1.03858030e+00  7.08609638e-01
 -2.16480767e-01 -5.98680340e-01  5.80905696e-01  1.49794505e-01
 -1.14345758e+00  9.19946047e-01 -7.61086969e-01  1.71333681e-03
  8.94123603e-02 -5.43463571e-01  2.38911770e-01  8.33703408e-02
 -4.03025639e-01  9.05752854e-02 -1.70507313e+00 -4.74056222e-01]"
44,6370,"[ 2.47723773e+00 -1.79873154e+00  1.98863496e+00  3.34140080e-01
 -8.65791915e-01  1.51888505e+00  3.30632393e-01 -6.59505193e-01
  8.67844604e-01  2.78286920e-01 -1.43001368e+00  1.35870480e-01
 -6.84855978e-01  6.05109901e-01 -2.81491886e-01 -1.87020274e-01
 -4.78326509e-01 -5.34572693e-01 -6.01326704e-01  3.05442214e-01
  7.47873296e-01  2.11687684e-01  9.72465114e-02 -2.47317921e-01
 -1.62757585e-01  5.81743825e-01  2.22622411e-01 -3.24832996e-01
  8.80159040e-01  1.95900120e-03  4.63217462e-01 -5.56559043e-02]"
45,6386,"[16.45775118 -0.0738647   8.79017487 -0.54993571 -0.88372989  0.15795127
 -2.37100157 -0.13012138 -2.47773534 -0.89834837  1.62247842  0.37322654
 -0.54865349 -1.26284605 -0.52833076  2.08771834  0.10533373  2.42645624
 -2.03059809  0.64851641 -1.27499709 -0.50443819  0.53156499 -0.2277087
 -0.77602674  0.4987271   0.43678311  0.65452079  0.7574178   0.4833061
  0.65309191  1.27617858]"
46,56,"[ 7.14754528 -3.16538205 -2.87665612 -1.93049425 -0.78535898  0.38180118
  0.43178277  0.7621084   0.06889168  1.00888276  1.63085884  1.21443954
 -1.0697477   0.1754183   0.67160549 -0.49683731 -0.3134654  -0.89732752
 -0.05486181 -0.26540571  0.44856424  0.55937739 -0.56537401  0.71926149
 -0.57087855  0.55118622  0.42483264  0.76632551  0.5701413   0.36609153
  0.75802214 -0.18741637]"
